#sample_id,sample_name,bam_dir,bam_file
66,Gm13977AlnRep1,,wgEncodeOpenChromDnaseGm13977AlnRep1.bam
67,Gm13977AlnRep2,,wgEncodeOpenChromDnaseGm13977AlnRep2.bam
68,Gm18507AlnRep1,,wgEncodeOpenChromDnaseGm18507AlnRep1.bam
69,Gm18507AlnRep2,,wgEncodeOpenChromDnaseGm18507AlnRep2.bam
70,Gm18507AlnRep3,,wgEncodeOpenChromDnaseGm18507AlnRep3.bam
71,Gm19238AlnRep1,,wgEncodeOpenChromDnaseGm19238AlnRep1.bam
72,Gm19238AlnRep2,,wgEncodeOpenChromDnaseGm19238AlnRep2.bam
73,Gm19239AlnRep1,,wgEncodeOpenChromDnaseGm19239AlnRep1.bam
74,Gm19239AlnRep2,,wgEncodeOpenChromDnaseGm19239AlnRep2.bam
75,Gm19240AlnRep1,,wgEncodeOpenChromDnaseGm19240AlnRep1.bam
76,Gm19240AlnRep2,,wgEncodeOpenChromDnaseGm19240AlnRep2.bam
77,Gm20000AlnRep1,,wgEncodeOpenChromDnaseGm20000AlnRep1.bam
78,Gm20000AlnRep2,,wgEncodeOpenChromDnaseGm20000AlnRep2.bam
79,H1hescAlnRep1,,wgEncodeOpenChromDnaseH1hescAlnRep1.bam
80,H1hescAlnRep2,,wgEncodeOpenChromDnaseH1hescAlnRep2.bam
81,H7esAlnRep1,,wgEncodeOpenChromDnaseH7esAlnRep1.bam
82,H7esAlnRep2,,wgEncodeOpenChromDnaseH7esAlnRep2.bam
83,H7esAlnRep3,,wgEncodeOpenChromDnaseH7esAlnRep3.bam
84,H9esAlnRep1,,wgEncodeOpenChromDnaseH9esAlnRep1.bam
85,H9esAlnRep2,,wgEncodeOpenChromDnaseH9esAlnRep2.bam
86,HeartocAlnRep1,,wgEncodeOpenChromDnaseHeartocAlnRep1.bam
87,HeartocAlnRep2,,wgEncodeOpenChromDnaseHeartocAlnRep2.bam
88,Hek293tAlnRep1,,wgEncodeOpenChromDnaseHek293tAlnRep1.bam
89,Hek293tAlnRep2,,wgEncodeOpenChromDnaseHek293tAlnRep2.bam
90,Helas3AlnRep1,,wgEncodeOpenChromDnaseHelas3AlnRep1.bam
91,Helas3AlnRep2,,wgEncodeOpenChromDnaseHelas3AlnRep2.bam
92,Helas3AlnRep3,,wgEncodeOpenChromDnaseHelas3AlnRep3.bam
93,Helas3Ifna4hAlnRep1,,wgEncodeOpenChromDnaseHelas3Ifna4hAlnRep1.bam
94,Helas3Ifna4hAlnRep2,,wgEncodeOpenChromDnaseHelas3Ifna4hAlnRep2.bam
95,HepatocytesAlnRep1,,wgEncodeOpenChromDnaseHepatocytesAlnRep1.bam
96,HepatocytesAlnRep2,,wgEncodeOpenChromDnaseHepatocytesAlnRep2.bam
97,Hepg2AlnRep1,,wgEncodeOpenChromDnaseHepg2AlnRep1.bam
98,Hepg2AlnRep2,,wgEncodeOpenChromDnaseHepg2AlnRep2.bam
99,Hepg2AlnRep3,,wgEncodeOpenChromDnaseHepg2AlnRep3.bam
100,HmecAlnRep1,,wgEncodeOpenChromDnaseHmecAlnRep1.bam
101,HmecAlnRep2,,wgEncodeOpenChromDnaseHmecAlnRep2.bam
102,Hpde6e6e7AlnRep1,,wgEncodeOpenChromDnaseHpde6e6e7AlnRep1.bam
103,Hpde6e6e7AlnRep2,,wgEncodeOpenChromDnaseHpde6e6e7AlnRep2.bam
104,HsmmAlnRep1,,wgEncodeOpenChromDnaseHsmmAlnRep1.bam
105,HsmmAlnRep2,,wgEncodeOpenChromDnaseHsmmAlnRep2.bam
106,HsmmAlnRep3,,wgEncodeOpenChromDnaseHsmmAlnRep3.bam
107,HsmmembAlnRep1,,wgEncodeOpenChromDnaseHsmmembAlnRep1.bam
108,HsmmembAlnRep2,,wgEncodeOpenChromDnaseHsmmembAlnRep2.bam
109,HsmmfshdAlnRep1,,wgEncodeOpenChromDnaseHsmmfshdAlnRep1.bam
110,HsmmfshdAlnRep2,,wgEncodeOpenChromDnaseHsmmfshdAlnRep2.bam
111,HsmmfshdAlnRep3,,wgEncodeOpenChromDnaseHsmmfshdAlnRep3.bam
112,HsmmtAlnRep1,,wgEncodeOpenChromDnaseHsmmtAlnRep1.bam
113,HsmmtAlnRep2,,wgEncodeOpenChromDnaseHsmmtAlnRep2.bam
114,HsmmtAlnRep3,,wgEncodeOpenChromDnaseHsmmtAlnRep3.bam
115,Htr8AlnRep1,,wgEncodeOpenChromDnaseHtr8AlnRep1.bam
116,Htr8AlnRep2,,wgEncodeOpenChromDnaseHtr8AlnRep2.bam
117,Huh75AlnRep1,,wgEncodeOpenChromDnaseHuh75AlnRep1.bam
118,Huh75AlnRep2,,wgEncodeOpenChromDnaseHuh75AlnRep2.bam
119,Huh7AlnRep1,,wgEncodeOpenChromDnaseHuh7AlnRep1.bam
120,Huh7AlnRep2,,wgEncodeOpenChromDnaseHuh7AlnRep2.bam
121,HuvecAlnRep1,,wgEncodeOpenChromDnaseHuvecAlnRep1.bam
122,HuvecAlnRep2,,wgEncodeOpenChromDnaseHuvecAlnRep2.bam
123,Imr90AlnRep1,,wgEncodeOpenChromDnaseImr90AlnRep1.bam
124,Imr90AlnRep2,,wgEncodeOpenChromDnaseImr90AlnRep2.bam
125,Ipscwru1AlnRep1,,wgEncodeOpenChromDnaseIpscwru1AlnRep1.bam
126,Ipscwru1AlnRep2,,wgEncodeOpenChromDnaseIpscwru1AlnRep2.bam
127,Ipsnihi11AlnRep1,,wgEncodeOpenChromDnaseIpsnihi11AlnRep1.bam
128,Ipsnihi11AlnRep2,,wgEncodeOpenChromDnaseIpsnihi11AlnRep2.bam
129,Ipsnihi11AlnRep3,,wgEncodeOpenChromDnaseIpsnihi11AlnRep3.bam
130,Ipsnihi7AlnRep1,,wgEncodeOpenChromDnaseIpsnihi7AlnRep1.bam
131,Ipsnihi7AlnRep2,,wgEncodeOpenChromDnaseIpsnihi7AlnRep2.bam
132,Ipsnihi7AlnRep3,,wgEncodeOpenChromDnaseIpsnihi7AlnRep3.bam
133,IshikawaEst10nm30mAlnRep1,,wgEncodeOpenChromDnaseIshikawaEst10nm30mAlnRep1.bam
134,IshikawaEst10nm30mAlnRep2,,wgEncodeOpenChromDnaseIshikawaEst10nm30mAlnRep2.bam
135,IshikawaTam10030AlnRep1,,wgEncodeOpenChromDnaseIshikawaTam10030AlnRep1.bam
136,IshikawaTam10030AlnRep2,,wgEncodeOpenChromDnaseIshikawaTam10030AlnRep2.bam
137,K562AlnRep1V2,,wgEncodeOpenChromDnaseK562AlnRep1V2.bam
138,K562AlnRep2V2,,wgEncodeOpenChromDnaseK562AlnRep2V2.bam
139,K562AlnRep3V2,,wgEncodeOpenChromDnaseK562AlnRep3V2.bam
140,K562G1phaseAlnRep1,,wgEncodeOpenChromDnaseK562G1phaseAlnRep1.bam
141,K562G1phaseAlnRep2,,wgEncodeOpenChromDnaseK562G1phaseAlnRep2.bam
142,K562G1phaseAlnRep3,,wgEncodeOpenChromDnaseK562G1phaseAlnRep3.bam
143,K562G2mphaseAlnRep1,,wgEncodeOpenChromDnaseK562G2mphaseAlnRep1.bam
144,K562G2mphaseAlnRep2,,wgEncodeOpenChromDnaseK562G2mphaseAlnRep2.bam
145,K562G2mphaseAlnRep3,,wgEncodeOpenChromDnaseK562G2mphaseAlnRep3.bam
146,K562NabutAlnRep1,,wgEncodeOpenChromDnaseK562NabutAlnRep1.bam
147,K562NabutAlnRep2,,wgEncodeOpenChromDnaseK562NabutAlnRep2.bam
148,K562Saha1u72hrAlnRep1,,wgEncodeOpenChromDnaseK562Saha1u72hrAlnRep1.bam
149,K562Saha1u72hrAlnRep2,,wgEncodeOpenChromDnaseK562Saha1u72hrAlnRep2.bam
150,K562Saha1u72hrAlnRep3,,wgEncodeOpenChromDnaseK562Saha1u72hrAlnRep3.bam
151,K562SahactrlAlnRep1,,wgEncodeOpenChromDnaseK562SahactrlAlnRep1.bam
152,K562SahactrlAlnRep2,,wgEncodeOpenChromDnaseK562SahactrlAlnRep2.bam
